"filename", "language", "Java Properties", "Markdown", "XML", "Java", "comment", "blank", "total"
"c:\Users\polan\CodingBros\CodingBros\README.md", "Markdown", 0, -1, 0, 0, 0, -1, -2
"c:\Users\polan\CodingBros\CodingBros\auebpath\pom.xml", "XML", 0, 0, -43, 0, 0, -4, -47
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\CodeToName.java", "Java", 0, 0, 0, -34, 0, -9, -43
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\JSONtoString.java", "Java", 0, 0, 0, -34, 0, -5, -39
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\Location.java", "Java", 0, 0, 0, -107, -25, -26, -158
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\Main.java", "Java", 0, 0, 0, -17, -1, -2, -20
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\Url.java", "Java", 0, 0, 0, -30, -48, -10, -88
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\overpassAPI.java", "Java", 0, 0, 0, -35, -5, -12, -52
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\CodeToName.class", "Java", 0, 0, 0, -34, 0, 0, -34
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\JSONtoString.class", "Java", 0, 0, 0, -31, 0, 0, -31
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\Location$1.class", "Java", 0, 0, 0, -18, 0, 0, -18
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\Location$2.class", "Java", 0, 0, 0, -18, 0, 0, -18
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\Location.class", "Java", 0, 0, 0, -80, 0, 0, -80
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\Main.class", "Java", 0, 0, 0, -21, 0, 0, -21
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\Url.class", "Java", 0, 0, 0, -31, 0, 0, -31
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\overpassAPI.class", "Java", 0, 0, 0, -32, 0, -1, -33
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\maven-archiver\pom.properties", "Java Properties", -3, 0, 0, 0, -1, -1, -5
"Total", "-", -3, -1, -43, -522, -80, -71, -720
