"filename", "language", "Java", "Java Properties", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\polan\CodingBros\README.md", "Markdown", 0, 0, 1, 0, 0, 1, 2
"c:\Users\polan\CodingBros\auebpath\pom.xml", "XML", 0, 0, 0, 43, 0, 5, 48
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\CodeToName.java", "Java", 34, 0, 0, 0, 0, 9, 43
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\JSONtoString.java", "Java", 38, 0, 0, 0, 0, 5, 43
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\Location.java", "Java", 107, 0, 0, 0, 29, 26, 162
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\Main.java", "Java", 17, 0, 0, 0, 1, 2, 20
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\Url.java", "Java", 29, 0, 0, 0, 6, 9, 44
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\overpassAPI.java", "Java", 35, 0, 0, 0, 5, 12, 52
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\CodeToName.class", "Java", 34, 0, 0, 0, 0, 0, 34
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\JSONtoString.class", "Java", 32, 0, 0, 0, 0, 0, 32
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\Location$1.class", "Java", 20, 0, 0, 0, 0, 0, 20
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\Location$2.class", "Java", 20, 0, 0, 0, 0, 0, 20
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\Location.class", "Java", 80, 0, 0, 0, 0, 0, 80
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\Main.class", "Java", 21, 0, 0, 0, 0, 0, 21
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\Url.class", "Java", 30, 0, 0, 0, 0, 0, 30
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\overpassAPI.class", "Java", 32, 0, 0, 0, 0, 1, 33
"c:\Users\polan\CodingBros\auebpath\target\maven-archiver\pom.properties", "Java Properties", 0, 3, 0, 0, 1, 1, 5
"Total", "-", 529, 3, 1, 43, 42, 71, 689
